"ime","cena","firma","kategorija","prodajalec","popust_procenti","popust_euro"
"APPLE MacBook Pro 16.2 M1 Pro (10C/16G)/32GB/1TB/Space Gray/macOS Big Sur prenosni računalnik","3.599,99 €","APPLE","Poslovni prenosniki","Big Bang","0 %","0 €"
"DELL LATITUDE 5520 i7-1165G7/16GB/SSD 512GB/15,6""FHD/UMA/W10","1.529,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"DELL LATITUDE 5420 i5-1145G7/16GB/SSD 512G/14,0""FHD/Touch/UMA/Ubuntu Linux prenosni računalnik","1.289,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"DELL XPS 13 (9310) i7-1185G7/16GB/SSD 1TB/13.4''FHD+/UMA/W10Pro bel prenosni računalnik","2.241,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"Apple M1 chip with 8 core","2.014,99 €","APPLE","Gaming prenosniki","Big Bang","0 %","0 €"
"ACER Nitro 5 AN517 17.3''/i7/16GB/1TB/W10H gaming prenosni računalnik","1.598,99 €","Acer","Gaming prenosniki","Big Bang","0 %","0 €"
"HP 250 G8 39,6 cm (15,6"")/i5-1135G7/Intel Iris Xe/8GB/256GB/W10H prenosni računalnik","642,99 €","HP","Poslovni prenosniki","Big Bang","0 %","0 €"
"HP 250 G8 15.6'' FHD/1920x1080/i3-1115G4/Intel UHD/16GB/1TB/W10H prenosni računalnik","605,99 €","HP","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS TUF Gaming A15 FA507RM-HN082W 39,6 cm (15,6"")/R7-6800H /16GB/1TB/W11H prenosni računalnik","1.699,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
"TOSHIBA Dynabook Satellite Pro A50-J-1IA i5-1135G7/16GB/512GB/W11Pro/3Y prenosni računalnik","1.129,99 €","TOSHIBA","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO IdeaPad Gaming 3 AMD Ryzen 7 6800H/40,6 cm (16"")/WUXGA/16GB/1TB/RTX3050/DOS prenosni računalnik Onyx Grey","1.572,99 €","LENOVO","Gaming prenosniki","Big Bang","0 %","0 €"
"MacBook Air 13-inch Apple M2 8/10 512 Si","1.983,99 €","APPLE","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS ROG Strix SCAR 15 G533ZX-HF084 i9/32/16 prenosni računalnik","3.399,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
