"ime","cena","firma","kategorija","prodajalec","popust_procenti","popust_euro"
"APPLE MacBook Air 13 M1 Chip 8-Core CPU/7-Core GPU/256GB SSD/CRO Space Grey prenosni računalnik","1.049,99 €","APPLE","Poslovni prenosniki","Big Bang","4 %","50,00 €"
"GAMING PRENOSNI RAČUNALNIK Katana GF66 I5/16GB/ RTX3060/144HZ/512GB/WIFI6/MSI","899,00 €","MSI","Gaming prenosniki","Big Bang","0 %","0 €"
"GAMING PRENOSNI RAČUNALNIK GF63 THIN I5/8GB/144HZ/ RTX3050/WIFI-6/512GB MSI","699,00 €","MSI","Gaming prenosniki","Big Bang","0 %","0 €"
"APPLE MacBook Air 13 M2 (8/8)/8GB/256GB/Midnight prenosni računalnik","1.299,99 €","APPLE","Poslovni prenosniki","Big Bang","7 %","100,00 €"
"ASUS X515JA-BQ721W 39,6 cm (15,6"")/i7-1065G7/16GB/512GB/W11H prenosni računalnik","629,99 €","ASUS","Prenosniki za vsakdanjo uporabo","Big Bang","3 %","20,00 €"
"LENOVO IdeaPad 3 i3-1115G/12GB/512GB/W11 Home prenosni računalnik","399,99 €","LENOVO","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"HP 255 G9 R3-5425U/39,6 cm (15,6'')/8GB/512GB/AMD Radeon/W11H prenosni računalnik","379,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"APPLE MacBook Air 13"" M1 Chip 8-Core CPU/7-Core GPU/256GB/CRO Gold prenosni računalnik","1.049,99 €","APPLE","Poslovni prenosniki","Big Bang","4 %","50,00 €"
"LENOVO IdeaPad 3 i5-1155G/16GB/512GB/UMA/W11 Home prenosni računalnik","549,99 €","LENOVO","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"ACER Aspire 3 A315-24P-R282 R5-7520U/8GB/SSD 512GB/15,6''FHD IPS/W11H prenosni računalnik","479,99 €","Acer","Prenosni računalniki","Big Bang","0 %","0 €"
"GIGABYTE G5 GE-51EE213SD 39,6 cm (15,6"")/i5-12500H/RTX3050/16GB/512GB/DOS prenosni računalnik","999,99 €","GIGABYTE","Gaming prenosniki","Big Bang","0 %","0 €"
"HP Laptop 15-fc0012nm Ryzen 5 7520U/15.6"" FHD/16GB/512GB/W11H Natural Silver prenosni računalnik","549,99 €","HP","Prenosni računalniki","Big Bang","5 %","30,00 €"
"ASUS Laptop 15 X515EA-BQ322W 15.6'' FHD IPS/Intel Core i3-1115G4/8GB/512GB NVMe/Intel UHD Graphics/W11 Home Transparent Silver prenosni računalnik","379,99 €","ASUS","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"APPLE MacBook Air 13"" M1 Chip 8-Core CPU/7-Core GPU/256GB SSD/CRO Silver prenosni računalnik","1.049,99 €","APPLE","Poslovni prenosniki","Big Bang","4 %","50,00 €"
"HP 17-cn2048nm Core i5-1235U 17.3inch HD+ AG 8GB DDR4 512GB PCIe Intel Iris Xe W11H Snowflake White","579,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"ASUS Vivobook 16X M1603QA-MB511W 40,6 cm (16"")/R5 5600H/8GB/512GB/W11H prenosni računalnik","599,99 €","ASUS","Prenosniki za vsakdanjo uporabo","Big Bang","4 %","30,00 €"
"APPLE MacBook Air 13-inch M2 prenosni računalnik","1.299,99 €","APPLE","Poslovni prenosniki","Big Bang","9 %","129,01 €"
"Chuwi LapBook Pro N4100/8GB/256GB/14,1 IPS FHD/W10 Home prenosni računalnik","443,43 €","Chuwi","Prenosni računalniki","E-misija d.o.o.","0 %","0 €"
"LENOVO IdeaPad Gaming 3 i5-10300H 16GB 256GB W10H","793,49 €","LENOVO","Gaming prenosniki","Big Bang","0 %","0 €"
"MacBook Pro Touch Bar 16"" 2019 Core i9 2,4 Ghz 16 Gb 512 Gb SSD Space Grey","1.298,00 €","Obnovljeno","Poslovni prenosniki","Okamac","7 %","105,00 €"
"LENOVO IdeaPad 3 AMD Ryzen 5 5500U/12GB/512GB/W11 Home (Arctic Grey) prenosni računalnik","539,99 €","LENOVO","Prenosni računalniki","Big Bang","0 %","0 €"
"GIGABYTE A5 K1-AEE1130SD 39,6 cm (15,6"")/R5-5600H/RTX3060p/16GB/512GB/FHD/DOS prenosni računalnik","1.139,99 €","GIGABYTE","Gaming prenosniki","Big Bang","0 %","0 €"
"ACER Nitro 5 AN515-57-72R i7-11800H/16GB/SSD 512GB/15,6'' FHD IPS/RTX 3050 /W11 Home prenosni računalnik","1.163,99 €","Acer","Gaming prenosniki","Big Bang","0 %","0 €"
"HP 15s-eq3045nm 39,6 cm (15,6"")/R7 5825/8GB/512GB/W11H prenosni računalnik","539,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"ASUS K513EA-OLED-L522W i5-1135G7/16GB/512GB/W11 Home prenosni računalnik","749,99 €","ASUS","Prenosniki za vsakdanjo uporabo","Big Bang","6 %","50,00 €"
"HP Laptop 15s-fq5042nm Intel Core i3-1215U 15.6inch FHD AG 8GB 512GB PCIe UMA W11H Natural Silver","419,99 €","HP","Prenosni računalniki","Big Bang","6 %","30,00 €"
"ASUS M1603QA-MB070W AMD Ryzen 5 5600H/16GB/512GB/W11 Home prenosni računalnik","499,99 €","ASUS","Prenosni računalniki","Big Bang","16 %","100,00 €"
"ASUS ZenBook 14 UM3402YAR-KP511W IPS/Ryzen 5 7530U/8GB/512GB/W11H prenosni računalnik","799,99 €","ASUS","Prenosni računalniki","Big Bang","11 %","100,00 €"
"HP Victus 16-e1033nm R5-6600H/16/512/3050Ti/Wi","999,99 €","HP","Gaming prenosniki","Big Bang","0 %","0 €"
"LENOVO IdeaPad 3 39,6 cm (15,6"")/i3-1115G4/8GB/256GB/W11 Home prenosni računalnik","349,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS TUF Gaming A15 FA507RC-HN050W 15.6inch/FHD/IPS/144Hz/AMD Ryzen 7 6800HS/16GB DDR5/512GB NVMe/GeForce RTX 3050 4GB GDDR6/W11H prenosni računalnik","1.099,99 €","ASUS","Prenosni računalniki","Big Bang","5 %","70,00 €"
"HP 15s-fq5050nm Intel Core Core i5-1235U 15.6inch FHD AG 8GB 512GB PCIe Intel Iris Xe W11H Natural Silver","499,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"LENOVO IdeaPad 3 43,9 cm (17,3"")/R5 5500U/12GB/512GB/UMA/W11H prenosni računalnik","649,99 €","LENOVO","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"GAMING PRENOSNI RAČUNALNIK KatanaGF66 I7(12TH)/16GB/ 512GB/RTX3050TI/WIFI6/WINDOWS MSI","1.099,00 €","MSI","Gaming prenosniki","Big Bang","4 %","50,00 €"
"APPLE MacBook Air 15.3 M2 (8/10)/8GB/256GB/macOS Ventura/Starlight prenosni računalnik","1.729,99 €","APPLE","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS ROG Zephyrus Duo 16 GX650PY-NM010X 40,6 cm (16"") WQXGA Mini LED 240Hz/AMD Ryzen 9 7945HX/32GB/2TB NVMe/GF RTX4090 16GB GDDR6/W11P prenosni računalnik","5.029,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS M3502QA-OLED-MA732W 39,6 cm (15,6"")/Ryzen7/16GB/1TB/W11H prenosni računalnik","999,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"HP 250 G9 15,6""/i3-1215U/8GB/SSD 512/W11H prenosni računalnik","419,99 €","HP","Poslovni prenosniki","Big Bang","0 %","0 €"
"G5 KD-52EE123SD i5-11400H/RTX3060/16GB Gigabyte 15,6/144Hz/FHD/512GB/DOS","1.079,99 €","GIGABYTE","Gaming prenosniki","Big Bang","0 %","0 €"
"HP Victus 16-d1057nm i5-12500H/40,9 cm (16,1"")/16GB/512GB/RTX3050T/W11H prenosni računalnik","999,99 €","HP","Gaming prenosniki","Big Bang","0 %","0 €"
"LENOVO Legion 5 AMD R7 16GB 1TB RTX 3060 W11H","1.459,99 €","LENOVO","Gaming prenosniki","Big Bang","0 %","0 €"
"LENOVO Legion 5 Pro Ryzen 7 6800H/40,6cm(16"")/16GB/1TB/RTX3060/W11H (storm grey) gaming prenosni računalnik","1.649,99 €","LENOVO","Gaming prenosniki","Big Bang","0 %","0 €"
"ASUS ROG Strix G15 G513RW HQ173W/39,6 cm (15,6"")/R7/16GB/1TB/W11H prenosni računalnik","1.899,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
"HP 17-cn2004nm Intel Core i3-1215U 17.3inch HD+ AG 8GB 512GB PCIe UMA W11H Natural silver","449,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","6 %","30,00 €"
"LENOVO IdeaPad Gaming 3 Intel Core i5-11320H 15.6inch FHD 16GB 512GB RTX3050 W11H Shadow Black","849,99 €","LENOVO","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"LENOVO IP3 15IGL N4020/4GB/128GB/W11S (81WQ00KRSC) prenosni računalnik","279,99 €","LENOVO","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS VivoBook 17 X712EA-AU511W 17.3inch FHD Intel Core i5-1135G7 8GB 512GB NVMe Intel UHD Graphics W11H Transparent Silver","649,99 €","ASUS","Poslovni prenosniki","Big Bang","7 %","50,00 €"
"GIGABYTE G5 KF-E3EE313SD i5-12500H/16GB/512GB/RTX4060/144Hz/DOS gaming prenosni računalnik","1.499,99 €","GIGABYTE","Prenosni računalniki","Big Bang","0 %","0 €"
"HP ProBook 450 G9/15,6''/ i7/16GB/1TB SSD/W11Pro prenosni računalnik","1.104,99 €","HP","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS FX517ZC-HN063W i7-12650/39,6 cm (15,6"")/16GB/512GB/3050/W11 prenosni računalnik","1.199,99 €","ASUS","Gaming prenosniki","Big Bang","4 %","50,00 €"
"ASUS X1605ZA-MB531W 40,6 cm (16"")/i5-1235U/16GB/1TB/W11H prenosni računalnik","699,99 €","ASUS","Multimedijski prenosniki","Big Bang","11 %","88,00 €"
"ASUS ZenBook 17 Fold OLED UX9702AA-FOLED-MD731X 39,6 cm (15,6"")/i7-1250U/16GB/1T/W11P prenosni računalnik","3.899,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"HP 250 G9 i5-1235/8GB/SSD","539,99 €","HP","Poslovni prenosniki","Big Bang","16 %","110,00 €"
"ACER Predator Helios 300 PH315-54-90KZ 15,6"" QHD IPS/i9-11900H/16 GB/SSD 1TB/RTX 3070 8GB/NoOS prenosni računalnik","1.683,87 €","Acer","Gaming prenosniki","Big Bang","14 %","274,12 €"
"HP Victus 16-e1034nm r7-6800H/16/512/3050Ti/W","1.099,99 €","HP","Gaming prenosniki","Big Bang","0 %","0 €"
"ACER Predator Helios 300 PH315-53-79LD i7-10750H/15,6''/16GB/512GB/RTX3070/W10 Home gaming prenosni računalnik","1.789,99 €","Acer","Gaming prenosniki","Big Bang","0 %","0 €"
"ASUS ROG Strix G15 G513QR-HF010W 15.6"" FHD IPS 300Hz/AMD Ryzen 7 5800H/16GB/1TB NVMe/GeForce RTX3070 8GB GDDR6/W11H prenosni računalnik","1.768,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
"MacBook Pro Retina 13"" 2017"" Core i5 2,3 Ghz 8 Gb 128 Gb SSD Space Grey","586,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"ACER Aspire 5 A515-47-R0CX 39,6 cm (15,6"") FHD IPS/AMD Ryzen 7 5825U/16GB/512GB NVMe Radeon 8-core/W11H prenosni računalnik gray","899,99 €","Acer","Prenosni računalniki","Big Bang","0 %","0 €"
"GAMING PRENOSNI RAČUNALNIK Katana GF66 I5(12TH)/16GB/ RTX3060/512GB/WIFI6/144HZ/WINDOWS MSI","1.049,00 €","MSI","Gaming prenosniki","Big Bang","34 %","550,00 €"
"HP Pavilion x360 Intel Core i5-1235U 15.6inch FHD Touch 16GB 512GB PCIe Intel Iris Xe W11H Natural Silver prenosni računalnik","949,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"ACER Predator Helios 300 PH317-55-729K i7-11800H/17,3''/32GB/1TB/RTX 3070/DOS gaming prenosni računalnik","2.269,99 €","Acer","Gaming prenosniki","Big Bang","0 %","0 €"
"GAMING PRENOSNI RAČUNALNIK Crosshair15 I7(12H)/16GB/ 512GB/RTX3060/WIFI6/165HZ/WINDOWS MSI","1.449,00 €","MSI","Gaming prenosniki","Big Bang","6 %","100,00 €"
"ACER Aspire 3 A315-43-R926 15.6"" FHD IPS/AMD Ryzen 7 5700U/16GB/512GB NVMe/Radeon 8-core W11 Home silver prenosni računalnik","649,99 €","Acer","Poslovni prenosniki","Big Bang","0 %","0 €"
"GIGABYTE G7 KE-72EE213SD 43,9 cm (17,3"")/i5-12500H/RTX3060/16GB/512GB/DOS prenosni računalnik","1.439,99 €","GIGABYTE","Gaming prenosniki","Big Bang","0 %","0 €"
"ASUS Laptop 15 X515EA-BQ522W 15.6inch FHD IPS Intel Core i5-1135G7 16GB 512GB NVMe Intel Iris Xe W11H Slate Grey prenosni računalnik","599,99 €","ASUS","Prenosniki za vsakdanjo uporabo","Big Bang","7 %","50,00 €"
"DELL Vostro 5620 i7-1260P DELL Vostro 5620 i7-1260P","1.207,99 €","DELL","Multimedijski prenosniki","Big Bang","0 %","0 €"
"HP 255G8 (4K7Z9EA) R7-5700U 15 8GB/512 W11","559,00 €","HP","Poslovni prenosniki","eSvet","0 %","0 €"
"ASUS Vivobook S 15 K3502ZA-MA476/39,6 cm (15,6"")/i5-12500H/16GB/512GB/W11H prenosni računalnik","999,99 €","ASUS","Multimedijski prenosniki","Big Bang","0 %","0 €"
"HP Pavilion x360 14-ek0005nm Intel Core i7-1255U 14inch FHD 16GB 512GB PCIe Intel Iris Xe W11H Natural Silver","1.099,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"HP Pav x360 14-ek0002nm 14i i5-1235 16 512 W11","849,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"MICROSOFT Surface Laptop Go 2 i5-1135G7/8GB/256GB/W11H prenosni računalnik","999,99 €","MICROSOFT","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"Katana GF66 I7(12TH)/16GB /512GB/RTX3050/WIFI6/WINDOWS MSI","1.049,00 €","MSI","Gaming prenosniki","Big Bang","4 %","50,00 €"
"LENOVO IdeaPad Gaming 3 5800H/16GB/512GB/W11H prenosni računalnik","1.199,99 €","LENOVO","Gaming prenosniki","Big Bang","0 %","0 €"
"HP ProBook 450 G9/15,6''/ i5/16GB/512GB SSD/W11Pro","898,99 €","HP","Poslovni prenosniki","Big Bang","0 %","0 €"
"HP ProBook 440 G9 14"" FHD AG UWVA/i7-1255U/8GB/512GB SSD/UMA/W11 Pro prenosni računalnik","1.336,99 €","HP","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO IdeaPad 3 AMD Ryzen 5 5625U 15.6inch 8GB 512GB UMA W11H Arctic Grey","499,99 €","LENOVO","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"GAMING PRENOSNI RAČUNALNIK KatanaGF66 I5/16GB/RTX3050TI/144HZ/512GB/WIFI6/WINDOWS MSI","999,00 €","MSI","Gaming prenosniki","Big Bang","31 %","450,00 €"
"DELL XPS 15 (9520) i7-127 39,6 cm (15,6"") FHD+/32GB/1TB/RTX3050Ti 4GB/W11P prenosni računalnik","2.567,99 €","DELL","Multimedijski prenosniki","Big Bang","0 %","0 €"
"LENOVO IdeaPad 5 ProRyzen 5 6600HS/16GB/512GB/W11H prenosni računalnik","949,99 €","LENOVO","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"GIGABYTE AORUS 15P XD-73EE224SO i7-11800H/RTX3070P 8GB Gigabyte 16GB/15.6 240Hz FHD/1TB/W11H prenosni računalnik","2.534,99 €","GIGABYTE","Gaming prenosniki","Big Bang","0 %","0 €"
"ASUS Zenbook 14X UX5401ZAS-OLED-KN731 35,6 cm (14"")/i7-12700H/16GB/1T/W11P prenosni računalnik","1.769,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"HP 255 G9 R5-5625U/39,6 cm (15,6'')/8GB/512/AMD Radeon/W11H prenosni računalnik","499,99 €","HP","Prenosni računalniki","Big Bang","9 %","50,00 €"
"ACER Nitro 17 AN17-41-R8S9 Ryzen5 7535HS/16GB/512GB SSD/17.3'' FHD 165Hz IPS/RTX4050/NoOS prenosni računalnik","1.399,99 €","Acer","Gaming prenosniki","Big Bang","8 %","130,00 €"
"HP EliteBook 1040 G9 i5-1235U/35,6 cm (14"")/16GB/SSD 512GB/WUXGA IPS/LTE/BL KEY/W11-10P prenosni računalnik","1.848,99 €","HP","Poslovni prenosniki","Big Bang","0 %","0 €"
"ACER Swift 3 SF314-43-R33E 35,6 cm (14"") FHD IPS/AMD Ryzen 7 5700U/16GB/512GB/NVMe Radeon 8-core/W11H prenosni računalnik siv","699,99 €","Acer","Poslovni prenosniki","Big Bang","11 %","90,00 €"
"LENOVO ThinkBook 15 G4 Intel Core i7-1255U/39,6 cm (15,6"")/FHD/16GB/512GB/UMA/W11P prenosni računalnik črn","1.244,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS ZenBook S 13 UM5302TA-OLED-LX731X 13.3"" OLED WQ+/AMD Ryzen 7 6800U/16GB LPDDR5/1TB NVMe/AMD Radeon Graphics/W11P Ponder Blue prenosni računalnik","1.434,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS Vivobook 16X M1603QA-MB721W Ryzen 7 5800H/40,6 cm (16"")/16GB/512GB/WUXGA/1920x1200/16:10/W11H prenosni računalnik","799,99 €","ASUS","Prenosniki za vsakdanjo uporabo","Big Bang","5 %","50,00 €"
"GAMING PRENOSNI RAČUNALNIK Crosshair 15 I7(12TH)/16GB 1TB/RTX3070TI/165HZ/WINDOWS MSI","1.799,00 €","MSI","Gaming prenosniki","Big Bang","2 %","50,00 €"
"ACER SFX16-51G-579B i5 16/512G 3050 NoOS","799,99 €","Acer","Multimedijski prenosniki","Big Bang","0 %","0 €"
"ASUS X1502ZA-BQ522W ASUS X1502ZA-BQ522W 39,6 cm (15,6"")/i5-1235U/16GB/512GB/W11H prenosni računalnik","669,99 €","ASUS","Prenosniki za vsakdanjo uporabo","Big Bang","14 %","110,00 €"
"TESLA TeslaBook 9 i7-12700H/RTX2050/16GB/512GB/IPS/Windows 11 Home prenosni računalnik","1.453,99 €","TESLA","Gaming prenosniki","Big Bang","0 %","0 €"
"LENOVO ThinkPad X1 Yoga G7 Intel Core i7-1260P/35,6 cm (14"")/WUXGA/16GB/512GB/UMA/W11P prenosni računalnik storm grey MT","3.230,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO ThinkPad L15 G3 AMD Ryzen 5 PRO 5675U/39,6 cm (15,6"") FHD/16GB/512GB/UMA/W11P prenosni računalnik Thunder Black","919,99 €","LENOVO","Poslovni prenosniki","E-misija d.o.o.","0 %","0 €"
"HP Pav x360 14-dy1027nm i5-1155G7/8/512/W11","779,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"LENOVO TB 15 G2 I7/16GB/1TB/W10H (20VE005GSC) prenosni računalnik","1.199,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO ThinkPad L13 Yoga G3 AMD Ryzen 7 PRO 5875U/33,8 cm (13,3"")/WUXGA/16GB/1TB/UMA/W11P prenosni računalnik","1.682,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
"ACER Nitro 5 AN517-41-R9YE 17,3"" AMD Ryzen 7 5800H 16GB 512GB RTX3080 DOS gaming prenosni računalnik","1.699,99 €","Acer","Gaming prenosniki","Big Bang","3 %","70,00 €"
"ACER TMP215-53-585K i5 15i 8/512GB W10P","599,99 €","Acer","Poslovni prenosniki","Big Bang","7 %","50,00 €"
"ASUS ZenBook S 13 Flip UP5302ZA-OLED-LX731X 33,8 cm (13,3"")/Touch OLED WQXGA+/Intel Core i7-1260P/16GB/1TB/NVMe Iris Xe NP/W11P prenosni računalnik Ponder Blue","1.796,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"ACER Nitro 5 AN515-45-R1CA R9-5900HX/32GB/SSD 1TB/15,6'' FHD IPS 144Hz/RTX 3080 gaming prenosni računalnik","2.369,99 €","Acer","Gaming prenosniki","Big Bang","0 %","0 €"
"ACER A317-53-59WU i5-1135G7/17,3''/16GB/512GB/UMA/W11 Home prenosni računalnik","829,99 €","Acer","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"ASUS ROG Flow Z13 GZ301VU-MU002X Touch 165Hz i9-13900H/16GB/1TB/RTX 4050/W11 Pro prenosni računalnik","2.748,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
"LENOVO Legion 5 AMD Ryzen 7 5800H 17.3inch FHD 16GB 1TB RTX 3060 W11H prenosni računalnik","1.792,99 €","LENOVO","Gaming prenosniki","Big Bang","0 %","0 €"
"ASUS M515UA-EJ521W R5/16GB/512GB/W11 Home prenosni računalnik","579,99 €","ASUS","Prenosniki za vsakdanjo uporabo","Big Bang","3 %","20,00 €"
"ASUS TUF Dash F15 FX517ZE-HN002W i7-12650H/39,6 cm (15,6"") FHD/16GB/512GB/RTX 3050 Ti/W11 Home gaming prenosni računalnik","1.198,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
"HP 15s-eq2010nm 15,6""/1920x1080/R75700U/8GB/512GB/W10 Home prenosni računalnik","539,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"HP470 G9 i5-1235U/16GB/512GB/FreeDOS prenosni računalnik","813,99 €","HP","Multimedijski prenosniki","Big Bang","0 %","0 €"
"HP Laptop 15s-fq2086nm Intel Core i3-1125G4 15.6inch FHD AG 8GB 512GB PCIe UMA W11H Natural Silver","389,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"HP EliteBook 840 G9/14''/ i5/16GB/1TB SSD/W11Pro prenosni računalnik","1.449,99 €","HP","Poslovni prenosniki","Big Bang","0 %","0 €"
"ACER Aspire 3 A315-24P-R3V5 39,6 cm (15,6"") FHD/AMD Ryzen 5 7520U/16GB/512GB/NVMe Radeon 610M SoC/W11H prenosni računalnik silver","499,99 €","Acer","Prenosniki za vsakdanjo uporabo","Big Bang","7 %","40,00 €"
"HUAWEI MateBook D15/i3-10110U/8GB/256GB/W10 Home prenosni računalnik","649,99 €","HUAWEI","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"ASUS TUF Gaming A15 FA507RM-HN003 prenosni računalnik","1.388,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
"LENOVO IdeaPad 1 AMD Ryzen 5 7520U 15.6inch FHD 16GB 512GB UMA DOS Cloud Grey","465,99 €","LENOVO","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"ASUS ZenBook Pro 14 Duo UX8402ZE-OLED-M951X 36,83 cm (14,5"")/Touch OLED WQ+ 120Hz/Intel Core i9-12900H/32GB/2TB/RTX3050Ti/W11P prenosni računalnik","2.714,99 €","ASUS","Multimedijski prenosniki","Big Bang","0 %","0 €"
"ASUS ROG Strix SCAR 15 G533ZX-HF084 i9/32/16/W11 Home prenosni računalnik","3.484,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
"ACER Predator Helios 16 PH16-71-956T/16'' WQXGA 240Hz/i9-13900HX/32GB/1TB NVMe/RTX 4070/W11H Black prenosni računalnik","3.099,99 €","Acer","Gaming prenosniki","Big Bang","0 %","0 €"
"ASUS ExpertBook B7 Flip B7402FEA-LA0962 35,6 cm (14"")/i7-1195G7/16GB/512GB/W10P prenosni računalnik","1.162,99 €","ASUS","Multimedijski prenosniki","Big Bang","0 %","0 €"
"ASUS ExpertBook B1 B1400 35,6 cm (14"")/i5-1135G7/16GB/512GB SSD/W10P prenosni računalnik","735,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"GIGABYTE G5 GE-51EE263SD i5-12500H/39,6 cm (15,6"")/RTX3050/8GB/512GB/DOS prenosni računalnik","999,99 €","GIGABYTE","Prenosni računalniki","Big Bang","0 %","0 €"
"LENOVO IdeaPad Gaming 3 i5-11320H/39,6 cm (15,6"")/16GB/512GB/RTX 3050 Ti/DOS prenosni računalnik Shadow Black","955,99 €","LENOVO","Gaming prenosniki","Big Bang","0 %","0 €"
"LENOVO TB 15 G2 I5/16GB/512 GB/W10P (20VE00MLSC) prenosni računalnik","949,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO ThinkBook 15 G4 ABA 15''(39,6cm) FHD/AMD Ryzen 5 5625Z/16GB/512GB/UMA/W11H/Mineral grey prenosni računalnik","749,99 €","LENOVO","Prenosniki za vsakdanjo uporabo","Big Bang","6 %","50,00 €"
"LENOVO ThinkPad P14s G3 AMD Ryzen 7 PRO 6850U/35,6 cm (14"")/WUXGA/16GB/512GB UMA/W11P prenosni računalnik črn","1.589,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS VivoBook Pro 16X N7600ZE-OLED-L741X 40,6 cm (16"") OLED 4K/i7-12700H/32GB/1TB/LPDDR5/RTX3050Ti 4GB/W11P prenosni računalnik Silver","2.058,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS ZenBook 14X UM5401RA OLED-KN731W/Ryzen 7-6800H/16GB/1TB/W11 Home prenosni računalnik","1.499,99 €","ASUS","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"HP EliteBook 840 G9 14''/ i5/16GB/512GB SSD/W11 Pro prenosni računalnik","1.284,99 €","HP","Poslovni prenosniki","Big Bang","0 %","0 €"
"ACER Nitro 5 AN515-58-97LG 39,6 cm (15,6"") FHD IPS 144Hz/Intel Core i9-12900H/16GB/512GB/NVMe GeForce 3060 6GB GDDR6/W11H prenosni računalnik črn","1.549,99 €","Acer","Gaming prenosniki","Big Bang","10 %","187,00 €"
"MacBook Air 13"" 2013 Core i7 1,7 Ghz 8 Gb 64 Gb SSD Silver","240,00 €","APPLE","Poslovni prenosniki","Okamac","10 %","29,00 €"
"ASUS Vivobook S 15 K3502ZA-L1094W 39,6 cm (15,6"")/i7-12700H/16GB/512GB/W11H prenosni računalnik","1.199,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"ACER Nitro 17 AN17-41-R0DW Ryzen7 7735HSX/32GB/512GB SSD/17.3'' QHD 165Hz IPS DDS/RTX4070 8GB/NoOS prenosni računalnik","2.399,99 €","Acer","Gaming prenosniki","Big Bang","0 %","0 €"
"LENOVO ThinkPad T14s G3 Intel Core i7-1260P/35,6 cm (14"")/WUXGA/16GB/512GB/UMA/W11P prenosni računalnik Thunder Black","2.143,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO IdeaPad 5 PRO 40,6 cm (16"")/R5 6600HS/16GB/1TB/W11H prenosni računalnik","1.179,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
"GAMING PRENOSNI RAČUNALNIK CreatorZ16P I7(12TH)/32GB 1TB/RTX3070TI/165HZ/WINDOWS MSI","3.599,99 €","MSI","Gaming prenosniki","Big Bang","0 %","0 €"
"HP ProBook 450 G9/15,6''/ i7/16GB/512GB SSD/W11Pro prenosni računalnik","1.040,99 €","HP","Poslovni prenosniki","Big Bang","0 %","0 €"
